Doc:transcript-mike-huckabees-remarks-on-entitlement-reforms-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:150.0, List:[150]
Doc:transcript-chris-christies-remarks-on-marijuana-at-the-cnn-republican-presidential-debate, AVG:151.0, List:[151]
Doc:transcript-ben-carsons-response-on-his-electability-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:152.0, List:[152]
Doc:transcript-bernie-sanderss-remarks-on-college-affordability-at-the-cnn-democratic-presidential-debate, AVG:153.0, List:[153]
Doc:transcript-jeb-bushs-remarks-on-illegal-immigration-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:154.0, List:[154]
Doc:transcript-mike-huckabees-remarks-on-shrinking-government-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:155.0, List:[155]
Doc:transcript-martin-omalleys-remarks-on-black-lives-matter-at-the-cnn-democratic-presidential-debate, AVG:156.0, List:[156]
Doc:transcript-bernie-sanderss-remarks-on-his-decision-to-not-serve-in-the-vietnam-war-at-the-cnn-democratic-presidential-debate, AVG:157.0, List:[157]
Doc:transcript-ted-cruzs-remarks-on-iran-and-voting-against-u-s-military-action-in-syria-at-the-cnn-republican-presidential-debate, AVG:158.0, List:[158]
Doc:transcript-jeb-bushs-remarks-on-abortion-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:159.0, List:[159]
Doc:transcript-chris-christies-remarks-on-his-electability-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:160.0, List:[160]
Doc:transcript-chris-christies-closing-remarks-at-the-cnn-republican-presidential-debate, AVG:161.0, List:[161]
Doc:transcript-marco-rubios-closing-remarks-at-the-cnn-republican-presidential-debate, AVG:162.0, List:[162]
Doc:transcript-hillary-clintons-remarks-on-trade-policy, AVG:163.0, List:[163]
Doc:transcript-chris-christies-remarks-on-foreign-aid-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:164.0, List:[164]
Doc:transcript-chris-christies-remarks-on-climate-change-at-the-cnn-republican-presidential-debate, AVG:165.0, List:[165]
Doc:transcript-chris-christies-remarks-on-defunding-planned-parenthood-at-the-cnn-republican-presidential-debate, AVG:166.0, List:[166]
Doc:transcript-carly-fiorinas-closing-remarks-at-the-cnn-republican-presidential-debate, AVG:167.0, List:[167]
Doc:transcript-marco-rubios-remarks-on-guns-at-the-cnn-republican-presidential-debate, AVG:168.0, List:[168]
Doc:transcript-donald-trumps-remarks-near-the-u-s-mexico-border-in-texas-july-23-2015, AVG:169.0, List:[169]
Doc:transcript-donald-trumps-remarks-at-the-republican-jewish-coalition, AVG:170.0, List:[170]
Doc:transcript-carly-fiorinas-remarks-on-why-gop-voters-are-supporting-political-outsiders-at-the-cnn-republican-presidential-debate, AVG:171.0, List:[171]
Doc:transcript-bernie-sanderss-remarks-on-his-vote-against-the-iraq-war-at-the-cnn-democratic-presidential-debate, AVG:172.0, List:[172]
Doc:transcript-mike-huckabees-introductory-remarks-at-the-cnn-republican-presidential-debate, AVG:173.0, List:[173]
Doc:transcript-ben-carsons-remarks-on-hillary-clinton-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:174.0, List:[174]
Doc:transcript-hillary-clintons-remarks-on-the-state-departments-release-of-her-emails-may-19-2015, AVG:175.0, List:[175]
Doc:transcript-donald-trumps-remarks-on-deporting-illegal-immigrants-at-the-cnn-republican-presidential-debate, AVG:176.0, List:[176]
Doc:transcript-donald-trumps-introductory-remarks-at-the-cnn-republican-presidential-debate, AVG:177.0, List:[177]
Doc:transcript-ben-carsons-remarks-on-syria-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:178.0, List:[178]
Doc:transcript-donald-trumps-remarks-on-tax-reform, AVG:179.0, List:[179]
Doc:transcript-ben-carsons-remarks-on-vaccines-autism-at-the-cnn-republican-presidential-debate, AVG:180.0, List:[180]
